track,model,n_samples,macro_f1,weighted_f1,macro_precision,macro_recall,predictions_csv,metrics_json,notes
no_ft_natural_language_zero_shot,InstructBLIP-Vicuna-7B,650,0.25,0.3021,0.1621,0.5607,colab_results/results/predictions/instructblip_natural_language.csv,colab_results/results/metrics/instructblip_natural_language_metrics.json,Google Colab Pro A100; natural-language symptom list prompt; full translated test set
explanation_image_colab_attempt,BLIP-2-Flan-T5-XL,650,0.0126,0.027,0.0449,0.0073,colab_results/results/predictions/blip2_explanation_augmented.csv,colab_results/results/metrics/blip2_explanation_augmented_metrics.json,Colab; explanation+image; model not suitable for structured multilabel (see colab_results/results/summaries/experiment_3_blip2_failure_summary.txt)
explanation_image_colab_diagnostic_failed,Salesforce/blip-vqa-capfilt-large,0,0,0,0,0,,,"Colab A100; explanation+VQA-style prompt; model echoed prompt (no usable generations). No predictions CSV. Details: blip_inference/experiment_4_blip_failure_summary.txt; notebook/log: blip_inference/04_blip_inference"
