symptom,precision,recall,f1,support,predicted_positive
Feeling Down,0.34060402684563756,0.9441860465116279,0.5006165228113441,215,596
Lack of Interest,0.0915032679738562,0.4307692307692308,0.1509433962264151,65,306
Self-Harm,0.1346153846153846,0.5316455696202531,0.21483375959079284,79,312
Eating Disorder,0.16333333333333333,0.5975609756097561,0.25654450261780104,82,300
Low Self-Esteem,0.178125,0.5135135135135135,0.26450116009280744,111,320
Concentration Problems,0.10819672131147541,0.4583333333333333,0.17506631299734748,72,305
Sleeping Disorder,0.11864406779661017,0.44871794871794873,0.1876675603217158,78,295
